,Acceleration,Amihud_Illiquidity,Anchored_Momentum,Breakout,Carry_Momentum,Carry,Dispersion_Timing,EWMAC_Ensemble,EWMAC_Fast,EWMAC_Medium,EWMAC_Slow,Fast_Mean_Reversion,Intraday_Momentum,Kurtosis,Network_Momentum,Normalized_Momentum,OI_Momentum,Overnight_Momentum,Range_Compression,Realized_Semivariance,Relative_Carry,Skew,Skew_XS,Tail_Asymmetry,Value,Vol_of_Vol,Vol_Price_Divergence,Vol_Regime,Volume_Momentum,XS_Momentum
EWMAC_Slow,0.18657385552829772,-0.1144015790830081,0.5182654779580131,0.398642665530835,0.044776439629685715,0.2697245369985543,-0.08545151181242501,0.8833380417757722,0.4591153125543534,0.908994278880861,1.0,0.027746783836291148,0.15569562620806143,-0.26020686529579745,0.2702125046612401,0.7862043602884455,0.1580638194695635,0.11993891822425835,-0.159984788792803,0.26488656354042844,0.2124484645571074,0.3741537591956922,0.03476272519690921,-0.27212260834116664,-0.5092943413792407,-0.09840631828175278,-0.14241429866318986,-0.048606619540435346,0.1497660080645577,0.7377758955340374
Fast_Mean_Reversion,-0.1562384880599376,0.0710181530980445,-0.3928207230911811,-0.46112460263414823,-0.03158911160304461,0.005824691395385704,-0.15154727053734096,-0.0888493660590137,-0.2459177140055546,-0.011965786624188488,0.027746783836291148,1.0,-0.6184910172828464,-0.02552684795826681,-0.23524748539885923,-0.07970306227083263,-0.07433838785206666,-0.5861252308715624,0.09459136619625017,-0.37333353938330704,0.053695426959347856,0.20392988741023457,0.058799744056402856,-0.13036585001049436,0.04867189374723502,0.039861120666087026,-0.28934006717169086,0.0711844675965071,-0.1529951396648177,-0.13549420794141767
Intraday_Momentum,0.31679579350828524,-0.10142036967162774,0.6196071667420107,0.6369626917763508,0.1324779396311481,0.06698452521949425,0.11588813133299418,0.3552086646075431,0.5479746373615849,0.22999298461231898,0.15569562620806143,-0.6184910172828464,1.0,-0.045888526071055584,0.4200300706633688,0.34800618187204296,0.19874853729138567,0.29281319610596934,-0.19176897441857288,0.528256637710155,1.785833381067637e-05,-0.06330455319755723,-0.028362967190375777,0.0636951774940599,-0.16899252896952832,-0.053534749528112484,0.3394741652702974,-0.0761237788342216,0.29731082927252755,0.2874882789790553
Kurtosis,-0.037961271443343846,0.5259730577304523,-0.15607977059798692,-0.11985876876624284,0.01294484172621406,0.1649897153321072,0.14145911194468555,-0.23562412171435831,-0.14534898023166923,-0.22419674180643345,-0.26020686529579745,-0.02552684795826681,-0.045888526071055584,1.0,-0.1805439208832235,-0.26079710329176287,-0.10822665686413627,-0.028491402735784266,0.0954237217191097,-0.06509514689387025,0.03723573292197976,-0.30897404678162027,-0.02396920322783056,0.3892668788459545,0.26822836408072526,0.006143107532087217,0.1326132541879925,0.004049528462652004,-0.04798913964588265,-0.05503764303130033
Network_Momentum,0.4813610575076912,-0.11358337667062253,0.6188671240547425,0.6618744273686141,0.10366514140082747,0.042101735133680235,-0.09510807310395843,0.5013772635580667,0.651145295646733,0.39685056546712477,0.2702125046612401,-0.23524748539885923,0.4200300706633688,-0.1805439208832235,1.0,0.5294057683986075,0.2483734647516331,0.3442553369365432,-0.06795132611056909,0.5629256581062925,0.012978771548755475,0.04878746707970436,0.0077758070268608495,-0.07508054824521737,-0.21052635013716248,-0.010456330451501931,0.23079073778758558,0.027392265642965836,0.24556229907224206,0.31254340179007145
Normalized_Momentum,0.6341221494295495,-0.14914830787647657,0.8358871306074457,0.7611126171650126,0.13807990135178322,0.18100370631001467,-0.04871546773109348,0.9672921785420684,0.8423780463474277,0.9376197091375168,0.7862043602884455,-0.07970306227083263,0.34800618187204296,-0.26079710329176287,0.5294057683986075,1.0,0.2882307004904813,0.2759558651423499,-0.2670133651233429,0.6750268125933556,0.09053593169232199,0.2174512958112106,0.024258539667029025,-0.18671207446549598,-0.44212958278633047,-0.13805704201658278,0.13723754089838433,-0.1184888511558488,0.2938977184750245,0.7672144186515413
OI_Momentum,0.2509117175158596,-0.09638741993902478,0.3081187118408894,0.32360308100123153,0.06993837514603944,0.06111329157564272,-0.09514327622269983,0.26724933860947603,0.32975364228671944,0.21607621910697136,0.1580638194695635,-0.07433838785206666,0.19874853729138567,-0.10822665686413627,0.2483734647516331,0.2882307004904813,1.0,0.1328609620963822,-0.22360040729332858,0.29955861398742034,0.03673056193875889,0.06493780847535567,0.021517222523895894,-0.043392416024145626,-0.17578766090645143,0.04503857836119601,0.12577723076772263,0.022518632261333837,0.5789698457391164,0.15449966064325626
Overnight_Momentum,0.25614319268151664,-0.06417024308603714,0.5344101522367288,0.5574357498362031,0.04802050996721308,0.03386932519587271,0.11835010329567978,0.28634955309356835,0.45311115681673547,0.179395756894524,0.11993891822425835,-0.5861252308715624,0.29281319610596934,-0.028491402735784266,0.3442553369365432,0.2759558651423499,0.1328609620963822,1.0,-0.1238168202816641,0.45822959907057137,0.01059809155952273,-0.12029153985885101,-0.022874722077808617,0.01132965278872923,-0.11762320704194432,-0.06571739254267155,0.20397571724461555,-0.10462975492903324,0.18264679896165284,0.26991030251981546
Range_Compression,-0.17539601126796486,0.12855654113052814,-0.29724037933338543,-0.19861246117165304,-0.05585477488783673,0.059003588544324755,-0.19970314656687665,-0.2326700318864911,-0.24957951631523181,-0.20776481367780503,-0.159984788792803,0.09459136619625017,-0.19176897441857288,0.0954237217191097,-0.06795132611056909,-0.2670133651233429,-0.22360040729332858,-0.1238168202816641,1.0,-0.23880817357413495,0.09641588366477395,0.10266326092654439,0.015021776898582364,-0.09255962574574929,0.10782636128411953,0.3882064424888682,-0.1276554231967389,0.6290509493960718,-0.39326323730736035,-0.21574642960997858
Realized_Semivariance,0.7974380083061858,-0.11475601245689929,0.8436987662399461,0.8634889399917791,0.1713914060869314,0.06160312601799411,0.0307949123044281,0.620126777015877,0.8751734804430654,0.48678549073305405,0.26488656354042844,-0.37333353938330704,0.528256637710155,-0.06509514689387025,0.5629256581062925,0.6750268125933556,0.29955861398742034,0.45822959907057137,-0.23880817357413495,1.0,-0.01977580509586816,-0.196648111662901,-0.07071642355873013,0.07560677135152952,-0.22006253083614927,-0.1254778327415596,0.5184219664056032,-0.13168522181823503,0.343835100508552,0.4497604483043041
Relative_Carry,-0.027669169272191572,0.05202403386064834,0.036344047664517015,0.03697276659796817,0.2472468153809266,0.6283084368762278,-0.06325635554043472,0.15025926775208687,0.053210156519030445,0.13920954585348763,0.2124484645571074,0.053695426959347856,1.785833381067637e-05,0.03723573292197976,0.012978771548755475,0.09053593169232199,0.03673056193875889,0.01059809155952273,0.09641588366477395,-0.01977580509586816,1.0,0.15587086567016073,0.05179995786751899,-0.26256361879242934,-0.19477771317174153,0.05060402536474708,-0.08788567710614281,0.09927932779622728,0.01979831365253381,0.13887349104527472
Skew,-0.1490300658772063,-0.01993977446739801,-0.010845003937835824,-0.028998099990097063,-0.000623445840097586,0.1662667135636509,-0.1657094188400758,0.23591188418638803,0.009220088422991757,0.2546651008870879,0.3741537591956922,0.20392988741023457,-0.06330455319755723,-0.30897404678162027,0.04878746707970436,0.2174512958112106,0.06493780847535567,-0.12029153985885101,0.10266326092654439,-0.196648111662901,0.15587086567016073,1.0,0.43590945216141447,-0.41350181210667075,-0.21681023715285605,0.12406022899195637,-0.3669346325583805,0.17377788129769026,-0.00875100557728349,0.11845049708849391
Skew_XS,-0.035442156081059384,0.08605692935060222,-0.02489522562423661,-0.010080252803123484,-0.008753475591418928,0.06147575580656861,-0.04307130329337665,0.016386598181159503,-0.005197573365497444,0.014526686142472987,0.03476272519690921,0.058799744056402856,-0.028362967190375777,-0.02396920322783056,0.0077758070268608495,0.024258539667029025,0.021517222523895894,-0.022874722077808617,0.015021776898582364,-0.07071642355873013,0.05179995786751899,0.43590945216141447,1.0,-0.16405100704213887,-0.11758123181352263,0.05761040066532564,-0.10182526594943321,0.04739535162523547,0.024390500250729235,0.03954246425048997
Tail_Asymmetry,0.009865818999395167,0.1627682498009136,-0.054355681535023785,-0.07189405943252279,0.05778842713600342,-0.13318391274458338,0.14733118409775148,-0.21298482177978734,-0.08232891940787644,-0.21727953303921202,-0.27212260834116664,-0.13036585001049436,0.0636951774940599,0.3892668788459545,-0.07508054824521737,-0.18671207446549598,-0.043392416024145626,0.01132965278872923,-0.09255962574574929,0.07560677135152952,-0.26256361879242934,-0.41350181210667075,-0.16405100704213887,1.0,0.2205825212829361,-0.06318006726407135,0.2755879443479879,-0.16690339028373033,0.002312615470120641,-0.10005064471599409
Value,-0.10524682002362591,0.17953856646586897,-0.33299721110130864,-0.28498077846778813,-0.03383013094852984,-0.18309236987401414,0.1201034064480473,-0.47111899295557,-0.30381996894840185,-0.44708669901509696,-0.5092943413792407,0.04867189374723502,-0.16899252896952832,0.26822836408072526,-0.21052635013716248,-0.44212958278633047,-0.17578766090645143,-0.11762320704194432,0.10782636128411953,-0.22006253083614927,-0.19477771317174153,-0.21681023715285605,-0.11758123181352263,0.2205825212829361,1.0,0.008647372537812245,0.025425879344128557,-0.012481712131176163,-0.16600798794255475,-0.372175028602787
Vol_of_Vol,-0.10457434947013228,0.03037442036241743,-0.16574719529995438,-0.07653130451298734,-0.03391601823342706,0.04638076809819821,-0.21235805418726472,-0.13003429655841978,-0.12077735381903154,-0.1265075068565424,-0.09840631828175278,0.039861120666087026,-0.053534749528112484,0.006143107532087217,-0.010456330451501931,-0.13805704201658278,0.04503857836119601,-0.06571739254267155,0.3882064424888682,-0.1254778327415596,0.05060402536474708,0.12406022899195637,0.05761040066532564,-0.06318006726407135,0.008647372537812245,1.0,-0.05517109066618373,0.5750410688321538,0.0051322118436898,-0.14054894636589804
Vol_Price_Divergence,0.3841656060725688,-0.04283333451594105,0.3523296932968743,0.38331776730570827,0.08267924940038068,-0.04072236593912757,0.10090426385713548,0.09369415191738185,0.36696999511115064,0.007004024904906258,-0.14241429866318986,-0.28934006717169086,0.3394741652702974,0.1326132541879925,0.23079073778758558,0.13723754089838433,0.12577723076772263,0.20397571724461555,-0.1276554231967389,0.5184219664056032,-0.08788567710614281,-0.3669346325583805,-0.10182526594943321,0.2755879443479879,0.025425879344128557,-0.05517109066618373,1.0,-0.08902168535627183,0.18091147202718189,0.07199516256080905
Vol_Regime,-0.10816939604209865,0.07837703361321251,-0.18188996421594672,-0.06875555917756607,0.006377486180255432,0.08270139949572589,-0.3789433952027712,-0.09336079212914997,-0.10574103624413991,-0.09075248191074009,-0.048606619540435346,0.0711844675965071,-0.0761237788342216,0.004049528462652004,0.027392265642965836,-0.1184888511558488,0.022518632261333837,-0.10462975492903324,0.6290509493960718,-0.13168522181823503,0.09927932779622728,0.17377788129769026,0.04739535162523547,-0.16690339028373033,-0.012481712131176163,0.5750410688321538,-0.08902168535627183,1.0,-0.11964826726775057,-0.10971948195933025
Volume_Momentum,0.23856189828494945,-0.056074345751763954,0.37136672294826234,0.36562347779571003,0.11163357994197316,0.07182962105669462,0.030503674980738422,0.2754023251454133,0.3660357413659997,0.20669770402358573,0.1497660080645577,-0.1529951396648177,0.29731082927252755,-0.04798913964588265,0.24556229907224206,0.2938977184750245,0.5789698457391164,0.18264679896165284,-0.39326323730736035,0.343835100508552,0.01979831365253381,-0.00875100557728349,0.024390500250729235,0.002312615470120641,-0.16600798794255475,0.0051322118436898,0.18091147202718189,-0.11964826726775057,1.0,0.20290416488719573
XS_Momentum,0.3074084462149395,-0.04447961872086853,0.6534175663587127,0.5379768603651017,0.07651813314663498,0.2162620173287848,0.0026060301679994304,0.7924075413529933,0.5809796290979572,0.7904455874646394,0.7377758955340374,-0.13549420794141767,0.2874882789790553,-0.05503764303130033,0.31254340179007145,0.7672144186515413,0.15449966064325626,0.26991030251981546,-0.21574642960997858,0.4497604483043041,0.13887349104527472,0.11845049708849391,0.03954246425048997,-0.10005064471599409,-0.372175028602787,-0.14054894636589804,0.07199516256080905,-0.10971948195933025,0.20290416488719573,1.0
